1917	keyerror
Last Action Hero	['Arnold Schwarzenegger', 'F. Murray Abraham', 'Art Carney', 'Charles Dance', 'Frank McRae', 'Tom Noonan', 'Robert Prosky', 'Anthony Quinn', 'Mercedes Ruehl',"Austin O'Brien"]
	['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']
	['Jim Carrey', 'Jude Law', 'Liam Aiken', 'Emily Browning', 'Timothy Spall',"Catherine O'Hara", 'Billy Connolly', 'Cedric the Entertainer', 'Luis Guzmán', 'Jennifer Coolidge', 'Meryl Streep']
Life of Pi	keyerror
Little Fockers	['Robert De Niro', 'Ben Stiller', 'Owen Wilson', 'Blythe Danner', 'Teri Polo', 'Jessica Alba', 'Laura Dern', 'Harvey Keitel', 'Dustin Hoffman', 'Barbra Streisand', 'Scott Thorley']
Live Free or Die Hard	['Bruce Willis', 'Justin Long', 'Timothy Olyphant', 'Cliff Curtis', 'Maggie Q']
	keyerror
Mad Max: Fury Road	['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Zoë Kravitz', 'Abbey Lee', 'Courtney Eaton']
	['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Jessica Chastain', 'Bryan Cranston', 'Martin Short', 'Frances McDormand']
Maleficent	keyerror
	['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Antje Traue', 'Ayelet Zurer', 'Christopher Meloni', 'Russell Crowe']
Mars Needs Moms	['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack', 'Dee Bradley Baker']
	error
Mary Poppins Returns	['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer', 'Julie Walters', 'Dick Van Dyke', 'Angela Lansbury', 'Colin Firth', 'Meryl Streep']
Master and Commander: The Far Side of the World	0
Meet Joe Black	0
